,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,auc,avg_node_degree,degree_null_auc
hsa04066,hsa04066,HIF-1 signaling pathway,1/59,109/8160,0.548994788,0.66615831,0.521509812,RPS6,1,NA,NA,NA
hsa04668,hsa04668,TNF signaling pathway,1/59,112/8160,0.558838798,0.673810352,0.527500302,FOS,1,NA,NA,NA
hsa04725,hsa04725,Cholinergic synapse,1/59,113/8160,0.562072957,0.673810352,0.527500302,FOS,1,NA,NA,NA
hsa01200,hsa01200,Carbon metabolism,1/59,115/8160,0.568471508,0.67740018,0.530310641,ACAT2,1,NA,NA,NA
hsa04935,hsa04935,"Growth hormone synthesis, secretion and action",1/59,119/8160,0.580994125,0.688201375,0.538766482,FOS,1,NA,NA,NA
hsa04919,hsa04919,Thyroid hormone signaling pathway,1/59,121/8160,0.587120771,0.691343393,0.541226248,ACTB,1,NA,NA,NA
hsa04110,hsa04110,Cell cycle,1/59,126/8160,0.602054724,0.704758177,0.551728168,CDK2,1,NA,NA,NA
hsa00230,hsa00230,Purine metabolism,1/59,128/8160,0.607878476,0.706633787,0.553196511,APRT,1,NA,NA,NA
hsa04926,hsa04926,Relaxin signaling pathway,1/59,129/8160,0.610758851,0.706633787,0.553196511,FOS,1,NA,NA,NA
hsa04114,hsa04114,Oocyte meiosis,1/59,131/8160,0.616457342,0.708252153,0.554463468,CDK2,1,NA,NA,NA
hsa04728,hsa04728,Dopaminergic synapse,1/59,132/8160,0.619275752,0.708252153,0.554463468,FOS,1,NA,NA,NA
hsa04270,hsa04270,Vascular smooth muscle contraction,1/59,134/8160,0.624851631,0.710545569,0.556258895,GNA12,1,NA,NA,NA
hsa04910,hsa04910,Insulin signaling pathway,1/59,137/8160,0.633065247,0.715795365,0.56036876,RPS6,1,NA,NA,NA
hsa04371,hsa04371,Apelin signaling pathway,1/59,139/8160,0.63844251,0.717796946,0.561935721,RPS6,1,NA,NA,NA
hsa04140,hsa04140,Autophagy - animal,1/59,141/8160,0.643742287,0.718582843,0.56255097,WIPI2,1,NA,NA,NA
hsa04936,hsa04936,Alcoholic liver disease,1/59,142/8160,0.646363462,0.718582843,0.56255097,CD14,1,NA,NA,NA
hsa05224,hsa05224,Breast cancer,1/59,147/8160,0.659187608,0.724948823,0.567534651,FOS,1,NA,NA,NA
hsa05206,hsa05206,MicroRNAs in cancer,2/59,310/8160,0.66219306,0.724948823,0.567534651,STMN1/MCL1,2,0.165016502,4.765760129,0.331683168
hsa05226,hsa05226,Gastric cancer,1/59,149/8160,0.664188269,0.724948823,0.567534651,CDK2,1,NA,NA,NA
hsa04261,hsa04261,Adrenergic signaling in cardiomyocytes,1/59,150/8160,0.66666148,0.724948823,0.567534651,TPM3,1,NA,NA,NA
hsa04150,hsa04150,mTOR signaling pathway,1/59,156/8160,0.681129099,0.72733925,0.569406025,RPS6,1,NA,NA,NA
hsa04218,hsa04218,Cellular senescence,1/59,156/8160,0.681129099,0.72733925,0.569406025,CDK2,1,NA,NA,NA
hsa04390,hsa04390,Hippo signaling pathway,1/59,157/8160,0.683479596,0.72733925,0.569406025,ACTB,1,NA,NA,NA
hsa05160,hsa05160,Hepatitis C,1/59,157/8160,0.683479596,0.72733925,0.569406025,CDK2,1,NA,NA,NA
hsa04217,hsa04217,Necroptosis,1/59,159/8160,0.688129609,0.728392512,0.570230583,FTH1,1,NA,NA,NA
hsa04630,hsa04630,JAK-STAT signaling pathway,1/59,162/8160,0.694978978,0.730507851,0.571886601,MCL1,1,NA,NA,NA
hsa05165,hsa05165,Human papillomavirus infection,2/59,331/8160,0.697469808,0.730507851,0.571886601,ATP6V0B/CDK2,2,0.264026403,11.89915938,0.410891089
hsa04022,hsa04022,cGMP-PKG signaling pathway,1/59,167/8160,0.706067407,0.733070852,0.573893077,GNA12,1,NA,NA,NA
hsa05225,hsa05225,Hepatocellular carcinoma,1/59,168/8160,0.708237059,0.733070852,0.573893077,ACTB,1,NA,NA,NA
hsa04310,hsa04310,Wnt signaling pathway,1/59,170/8160,0.712529236,0.733070852,0.573893077,RAC1,1,NA,NA,NA
hsa04141,hsa04141,Protein processing in endoplasmic reticulum,1/59,171/8160,0.714651987,0.733070852,0.573893077,HSPA1B,1,NA,NA,NA
hsa04360,hsa04360,Axon guidance,1/59,182/8160,0.737008921,0.752127053,0.588811446,RAC1,1,NA,NA,NA
hsa05207,hsa05207,Chemical carcinogenesis - receptor activation,1/59,212/8160,0.789596247,0.801681903,0.627606039,FOS,1,NA,NA,NA
hsa04144,hsa04144,Endocytosis,1/59,251/8160,0.842764903,0.851320892,0.666466501,HSPA1B,1,NA,NA,NA
hsa04060,hsa04060,Cytokine-cytokine receptor interaction,1/59,295/8160,0.887001365,0.89148117,0.697906443,CSF1R,1,NA,NA,NA
hsa04080,hsa04080,Neuroactive ligand-receptor interaction,1/59,362/8160,0.931916307,0.931916307,0.729561563,NR3C1,1,NA,NA,NA
